# Phase, Flux
-2.227485885012818745e-01,-3.094397047931352063e+01
-2.224857797664583359e-01,1.895129853402011122e+01
-2.222358493322053041e-01,-3.208174395452623173e+01
-2.218883630622476844e-01,4.112245227672062242e+01
-2.215633396693659218e-01,3.502824707601881471e+01
-2.214228630441614776e-01,-6.597117288198450069e+01
-2.213356044545899959e-01,-3.920451402505964467e+01
-2.210325275039980442e-01,4.679339617630340342e+01
-2.206767320019430434e-01,4.270940888106977695e+01
-2.204370739835019855e-01,1.563966538675742868e+01
-2.201667393774390247e-01,8.484637957106855310e+00
-2.198125535230186500e-01,-5.378381721254932302e+01
-2.195023220070663195e-01,5.384233642491409455e+00
-2.193949201608343946e-01,9.213668286900400517e+01
-2.192761786701258320e-01,-1.444340533407473259e+01
-2.189570026517586587e-01,-8.870854012688056400e+00
-2.186067265233431200e-01,4.697452034818638822e+01
-2.183925389204748324e-01,1.615888009132149250e+01
-2.180954589157541035e-01,3.957317258262982307e+01
-2.177374636606528302e-01,8.627682638517875091e+01
-2.174443537163320839e-01,-6.098312972968589207e+01
-2.172135380328422682e-01,8.759890459741903612e+01
-2.168809384120758965e-01,7.363983688768449554e+01
-2.165388045536870143e-01,4.821286574419048065e+00
-2.163524314990552533e-01,2.813442678384348028e+01
-2.162961978680899566e-01,-7.244142995921353645e+01
-2.160226717231876759e-01,-4.377318967130339189e+01
-2.156635006997129622e-01,3.028145199923670816e+01
-2.153898779315280843e-01,3.856224839782207425e+01
-2.151480238709634341e-01,5.656161408129634083e+00
-2.148046746323574174e-01,3.246565526104916444e+01
-2.144734306991802342e-01,4.076402680741608719e+01
-2.143169223833554238e-01,-1.150589022607118039e+02
-2.142422440711344578e-01,-4.414460444523982119e+01
-2.139484048246423908e-01,4.038510215509383272e+01
-2.135907512679696696e-01,6.003165516599295870e+01
-2.133390908608528980e-01,5.513079932550901674e+01
-2.130798997698426511e-01,-1.533675746290263930e+00
-2.127287873502573534e-01,-1.160473934014305541e+01
-2.124107463778072136e-01,3.596847142151027299e+01
-2.122864113938550679e-01,1.457976748864275862e+01
-2.121846470951603836e-01,-6.673670974033373682e+01
-2.118731620679636940e-01,8.732940402600419816e+00
-2.115198528569652847e-01,1.374834058309737372e+01
-2.112925004243970672e-01,-5.450180573418617058e+01
-2.110096695773251430e-01,-7.290496813572300994e+01
-2.106532935951663799e-01,3.343580035930493466e+01
-2.103511254957571852e-01,-7.015907637408780317e+01
-2.101235050442671337e-01,-3.827966896463586011e+00
-2.097973665964921741e-01,1.527242203680501120e+01
-2.094508021348625570e-01,1.021455714944607962e+01
-2.092500496107219110e-01,-1.111030265033008391e+01
-2.089375990999887689e-01,2.810159139254864158e+01
-2.085786820365596039e-01,-1.635440383562780653e+00
-2.082948542208364895e-01,-7.249513553042596925e+01
-2.080594757712250775e-01,2.562404128214623711e+01
-2.077212005506687831e-01,6.693509494071214760e+01
-2.073841458931877657e-01,-2.762396646049936066e+01
-2.072123107554399990e-01,-2.275644461890991010e+01
-2.071480174099730176e-01,-1.054960945832128516e+02
-2.068639548848202336e-01,7.682165195688206438e+01
-2.065052803051077301e-01,-1.403448183390221260e+01
-2.062422127975849229e-01,3.492445470731908586e+01
-2.059925840797123264e-01,3.632485096227711097e+01
-2.056450026672886899e-01,5.170238996043963198e+00
-2.053200288817627062e-01,9.057928371580814542e+00
-2.051792112985382222e-01,-6.454077659145963253e+01
-2.050921755718636552e-01,1.929616519991128598e+01
-2.047892407796644276e-01,8.288770472431039593e+00
-2.044334101082153632e-01,5.210537502575718349e+01
-2.041934744366635801e-01,2.137234704324697532e+01
-2.039234126710574024e-01,2.863161037369721384e+00
-2.035692682795016140e-01,-1.121816428506505758e+01
-2.032588275982057935e-01,1.604926462328570835e+01
-2.031513061760341632e-01,9.903922948217847022e+01
-2.030327771825064520e-01,-1.104978671839784710e+01
-2.027136415163913741e-01,3.256759938219389028e+01
-2.023633087467412439e-01,2.612486565656269022e+01
-2.021489042042422524e-01,-4.601445793284142383e+00
-2.018522266114302077e-01,1.012343351591837859e+00
-2.014941710130528918e-01,7.822192431294894277e+01
-2.012008322825687978e-01,-4.852329423132850650e+01
-2.009701613489007777e-01,5.098653958324206315e+01
-2.006375794979334826e-01,-1.170221934354565008e+00
-2.002954471203612918e-01,1.428547862980522609e+01
-2.001087597624079395e-01,3.149121270396015859e+01
-2.000527223396409982e-01,-5.927348245071684119e+01
-1.997792924478171139e-01,-3.804092533921110686e+01
-1.994201984268052508e-01,1.216202256038023677e+01
-1.991463265112288772e-01,2.293101264050356747e+01
-1.989045898053790618e-01,3.667737814350147119e+00
-1.985614745357944244e-01,2.373371609465380061e+00
-1.982300521642180735e-01,2.615025223851041858e+01
-1.980732909989603163e-01,-1.159909295067595991e+02
-1.979988799741339012e-01,-6.616501221545777867e+01
-1.977051143982674342e-01,5.022081502770170403e+01
-1.973475160020126129e-01,7.782857942562060316e+01
-1.970956667907804993e-01,7.477275288958473709e+01
-1.968366437724533569e-01,4.469792206451828065e+01
-1.964855046981693887e-01,-2.687205197182684913e+01
-1.961673441497795434e-01,4.275429372069261547e+01
-1.960427389167994638e-01,2.734813050309092830e+01
-1.959411526862999686e-01,-3.627741280931573442e+00
-1.952765231889505015e-01,3.216712645359720568e+00
-1.950489627016512850e-01,-3.180217425602371861e+01
-1.947663502750265341e-01,-5.705935948974172334e+01
-1.944100050198119822e-01,8.053812223374201551e+01
-1.941077765771268560e-01,-5.141295354660346817e+01
-1.938801957374804985e-01,1.726222767617358045e+00
-1.935540865358332807e-01,-1.237731915904038971e+01
-1.932074546970486972e-01,2.121297763335583397e+01
-1.930065559422697863e-01,9.664976848400286258e+00
-1.926942142715560857e-01,-5.339636958145987933e-01
-1.923353853167140137e-01,-2.454206458202268237e+01
-1.920513972025948979e-01,-5.042454324333256466e+01
-1.918160309697204413e-01,-2.167023109400645353e+01
-1.914779216006223805e-01,1.004716209704881180e+02
-1.911406988704581478e-01,-4.458683411712183187e+01
-1.909686197681770281e-01,-1.175869040836996504e+01
-1.909045581705065553e-01,-1.003234916954198752e+02
-1.906207396098871243e-01,1.521346452282301698e+01
-1.902620517028253966e-01,-4.932715739591753135e+01
-1.899988050164950204e-01,4.740374456146945192e+01
-1.897492396035317386e-01,6.539814941475263765e+01
-1.894017218662215063e-01,2.383697705865550631e+01
-1.890766392406760810e-01,1.640246909739850878e+01
-1.889355599231190563e-01,-5.891770677091123787e+01
-1.888487463189332249e-01,-5.891542614122613486e+01
-1.885459540553309221e-01,-1.042750294988348259e+01
-1.881900082503918936e-01,6.021054049920593343e+01
-1.879500340776086853e-01,2.820553599303110559e+01
-1.876800060005799908e-01,-2.889451764176431681e+01
-1.873259830359846889e-01,-4.511316584965285870e+01
-1.870154127832370783e-01,1.693826013560162380e+01
-1.869075333736546218e-01,1.105577255364753597e+02
-1.867893756948870720e-01,1.117203521894261087e+01
-1.864704395688076000e-01,1.658017075190088008e+00
-1.861200497877187887e-01,3.109394232736484298e+01
-1.859054290459974945e-01,-8.855752692826790451e+00
-1.856089147132146122e-01,3.275543237801770147e+01
-1.852509579593447642e-01,7.765029162998260404e+01
-1.849573900724931219e-01,-3.676041877831437432e+01
-1.847267050710675873e-01,4.542353700975887421e+01
-1.843943797715745792e-01,5.937029716163166881e+01
-1.840521696511313587e-01,-2.400965862880966029e+01
-1.838651679898565261e-01,4.148103635048805415e+01
-1.838093264050838505e-01,-7.975677163873928066e+01
-1.835359927663383628e-01,-6.390594820782080632e+01
-1.831768961538974283e-01,2.183016765089362821e+01
-1.829028550550255705e-01,3.351565352738283821e+01
-1.826613145573741104e-01,1.281704974176456346e+01
-1.823181948453397316e-01,2.875387966105868998e+01
-1.819866739994600024e-01,7.346968715316037901e+01
-1.818296599847691875e-01,-1.179296379987260224e+02
-1.817553563191457444e-01,-8.902968764268325685e+01
-1.814617443780005557e-01,6.255856074366406006e+01
-1.811041219184761353e-01,4.133628230773567225e+01
-1.808520839031286798e-01,5.187141595186517407e+01
-1.805932285872805521e-01,-1.169095041730905393e+01
-1.802421424521896132e-01,2.964281786255185125e+00
-1.799239422919559628e-01,4.693923891463391840e+01
-1.796978170950188636e-01,-5.136910094827307205e+01
-1.793865945425628938e-01,2.306869185209059481e+01
-1.790331139270440186e-01,2.407131057013955910e+01
-1.788053461254219823e-01,-5.813739536242312766e+01
-1.785231109368238256e-01,-5.367685175483583038e+01
-1.781666368505659959e-01,6.815320175923567092e+01
-1.778642692111211954e-01,-8.060769187012706993e+01
-1.776367272429103528e-01,1.147018659164444898e+00
-1.773107268812825765e-01,1.011175755349924543e+00
-1.769641072592349484e-01,2.566362372857788898e+01
-1.767629030860340400e-01,1.044580375886283719e+01
-1.764509882607027125e-01,2.351260515487396674e+01
-1.760920882266642229e-01,-8.507193771101206892e+00
-1.758079412949657971e-01,-5.694108466569591798e+01
-1.755726653919034153e-01,1.341907580609813522e+01
-1.752345626864799666e-01,6.196787342904741536e+01
-1.748974114057163520e-01,-5.943285856835345271e+01
-1.747250087450099576e-01,-9.276460331886227095e+00
-1.746610189669441926e-01,-1.259032267697524077e+02
-1.743773655173747050e-01,2.258480248951144631e+01
-1.740186642829636421e-01,-7.470945748377921802e+00
-1.737553180117175078e-01,5.648101993704912616e+01
-1.735058151632551393e-01,2.965834829327107514e+01
-1.731585206590460224e-01,-2.103819935872497382e+01
-1.728331696354935554e-01,-9.420605243670721052e-01
-1.726919085476998905e-01,-5.677182514340906039e+01
-1.726053170660026836e-01,3.107959313020103309e+00
-1.723026669607931050e-01,-1.883026060889303466e+01
-1.719467663207602248e-01,5.302933860162895030e+01
-1.717065141246619797e-01,2.365557880912305677e+01
-1.714367585178860898e-01,-3.001319279172243171e+01
-1.710826977924676529e-01,-8.475762022364108361e+01
-1.707720775621601739e-01,2.446460853677834280e+01
-1.706638401651666692e-01,1.218423081297270727e+02
-1.705458946133758813e-01,4.074736356329822229e+00
-1.702271576571279255e-01,-8.856414828284364660e+00
-1.698767119752128130e-01,7.335576389211340143e+00
-1.696618742938609259e-01,-1.519647066128282376e+01
-1.693655228509030053e-01,2.388448685253230508e+01
-1.690075860880572156e-01,9.520478901925422122e+01
-1.687139482326216466e-01,-1.532774553747451307e+01
-1.684834076108137069e-01,7.764995668879670632e+01
-1.681511008215281766e-01,2.925146025600788846e+01
-1.678087333643221157e-01,9.006828901592101033e+00
-1.676216558111970345e-01,4.410564955059648184e+01
-1.675657709125388806e-01,-7.167034519339753729e+01
-1.672927723085472218e-01,-5.804598647785041976e+01
-1.669335146573019957e-01,4.883215126705309217e+01
-1.666594631927139636e-01,3.218442961872014507e+01
-1.664178801215855374e-01,2.133719861308058796e+01
-1.660748359311973177e-01,2.696512952637952765e+01
-1.657432958347018204e-01,6.538726376481562852e+01
-1.652185335455172988e-01,3.580038118111694700e+01
-1.648608074288314684e-01,4.779064959370415977e+01
-1.646085809795727606e-01,6.986879139958546148e+01
-1.643498929959994470e-01,1.905560403514527934e+01
-1.639989393939934592e-01,-1.864640998594513377e+01
-1.636805408043365828e-01,3.926402930498618105e+01
-1.634543223159542480e-01,-3.646243252142244984e+01
-1.631433900035500484e-01,4.977591874877340672e+01
-1.627898638529210462e-01,-7.459522908370708194e+00
-1.625618887369763010e-01,-5.298986874435751560e+01
-1.622797120406335170e-01,-6.552176463714420152e+01
-1.616208414390072345e-01,-6.545702666471697739e+01
-1.610675264145154939e-01,4.216936422274386587e+00
-1.607207605618293789e-01,3.559303183497952716e+01
-1.605193305640982837e-01,1.752966111157050477e+01
-1.602076826559576395e-01,3.360590280276909425e+01
-1.598487915068187437e-01,-1.749611688195429338e+01
-1.595644850171324958e-01,-6.330033913548582802e+01
-1.593293790377739994e-01,-3.672545288757600446e+01
-1.589913633303252638e-01,5.150410363707891293e+01
-1.586540439768785449e-01,-6.240061923878936767e+01
-1.584814773157346979e-01,-5.869994156970648191e+00
-1.584176385809611398e-01,-9.026760728814141999e+01
-1.581340706485498959e-01,3.630095840390090700e+01
-1.577753560867894977e-01,-4.313465950245287672e+01
-1.575117517832522740e-01,7.235475181954775792e+01
-1.572625495405579610e-01,2.406423875189744876e+01
-1.569151602640870280e-01,-1.315009824531809812e+01
-1.565898595882986299e-01,-3.131118334442906104e+01
-1.564482579126890149e-01,-4.647793124157306721e+01
-1.563618078489763530e-01,-2.036024217255683055e+01
-1.560593802364595994e-01,-4.457785220501886414e+01
-1.557034444270325446e-01,5.421983845832478721e+01
-1.554629149480276640e-01,2.071487597232746225e+01
-1.551933518474085671e-01,-1.856703101144052681e+01
-1.548394125489507278e-01,-3.511184754545482178e+01
-1.545285835235038485e-01,2.678543675216360498e+01
-1.544202272909789286e-01,1.349570674040734275e+02
-1.543025719792400219e-01,5.359756326095421741e+01
-1.539837965217606408e-01,2.416293839369032526e+01
-1.536332945688150264e-01,1.946794708929111550e+01
-1.534182399478325465e-01,-3.811762822358844005e+01
-1.531222901763750199e-01,1.639519068641348554e+01
-1.527642938106613668e-01,3.223732795776257376e+01
-1.524705067629542610e-01,-2.186505476486910737e+01
-1.522400305566680156e-01,2.587960404309974649e+01
-1.519077419073857627e-01,7.045989504961269745e+00
-1.515653766714045725e-01,3.838334154959710531e+00
-1.513779848149580110e-01,3.564934906608030474e+01
-1.513222946436816319e-01,-7.395588487058013527e+01
-1.510493926629725703e-01,-9.518908341110687843e+01
-1.506902919782859840e-01,2.975722673204117541e+01
-1.504159128830272474e-01,2.435257673316648663e+01
-1.501745249094846857e-01,1.026401935733112225e+01
-1.498316358346343247e-01,1.194370837187541667e+01
-1.494998384462561392e-01,8.484306032863209168e+01
-1.493423986967954420e-01,-1.123355146638305087e+02
-1.492684674565447622e-01,-1.021408726614714340e+02
-1.489751635252504203e-01,6.975478080484265320e+00
-1.486175725330786124e-01,3.214722362221422713e+01
-1.483651576499086522e-01,3.043681193326541745e+01
-1.481065570345142524e-01,-1.717042440341209897e+00
-1.477555771480137947e-01,-1.750778540854369680e+01
-1.474371389465131132e-01,5.863458454036241108e+01
-1.472109067605772426e-01,-5.109365974242940922e+01
-1.469001062408497038e-01,2.525773244510531867e+01
-1.465464549612187639e-01,-2.710095476221585642e+01
-1.463183521248430097e-01,-5.880028178040230813e+01
-1.460363927383349081e-01,-3.975113242771222133e+01
-1.456801396639532120e-01,4.285097964906725565e+01
-1.451499487011453926e-01,-3.935990144177115013e+01
-1.448242463538564895e-01,-2.043913591120993800e+01
-1.444774134942197197e-01,1.361750160677743793e+01
-1.442758372658502486e-01,2.423868371104198616e+01
-1.439642970871165550e-01,4.107674244080428139e+00
-1.436054944167689529e-01,2.633540584162652465e+01
-1.433211087033952058e-01,-5.497342284455086769e+01
-1.430859338660651625e-01,1.849097961770240772e+01
-1.427480047863869395e-01,6.869618761262685780e+01
-1.424105976945572172e-01,-6.953644504070766175e+01
-1.422377878092883075e-01,-1.298777153035945986e+01
-1.421741782308822977e-01,-1.442623455623071038e+02
-1.418908550034126970e-01,-9.647151363312289618e+00
-1.415320482608194430e-01,-1.684288982761739106e+01
-1.412683451127748624e-01,6.422492885116426464e+01
-1.410192043239690829e-01,1.056367048766215788e+02
-1.406719590569116551e-01,-1.609946939906681251e+01
-1.403464703174160944e-01,-3.310015393853671384e+01
-1.402046076478823400e-01,-4.255879707948384549e+01
-1.401183782258417221e-01,-2.127561823794810181e+01
-1.398160931419218933e-01,-1.220657904432709273e+01
-1.394601229035090650e-01,7.620587767642739152e+01
-1.392194753293810594e-01,3.141528978622964985e+01
-1.389501039945105765e-01,-3.668128563072414750e+01
-1.385961276756378924e-01,-4.795246627165017372e+01
-1.382851694489434236e-01,3.038303568292377577e+01
-1.381764559694158567e-01,1.446340427828651798e+02
-1.380591697512123517e-01,4.667883242404080590e+01
-1.377405945741769777e-01,-4.463647400809733767e+01
-1.373900363502008615e-01,-2.548977615868253110e+00
-1.371746859361042681e-01,-1.908662186833609553e+01
-1.368788983140635240e-01,2.185584946357010949e+01
-1.365210811271573288e-01,2.171628856828533571e+01
-1.362270652932868753e-01,1.869450535885164300e+01
-1.356645421810269703e-01,2.598016322186147420e+01
-1.353220995723788400e-01,-1.140832368284883103e+01
-1.351344730065026090e-01,3.628019693047157546e+01
-1.350788180046202935e-01,-9.958290391298696420e+01
-1.348060926112897295e-01,-6.176348416098154104e+01
-1.344469900755823621e-01,3.216414550011315043e+01
-1.341724417970280303e-01,-7.241352873998962991e-01
-1.339312489210713331e-01,2.002365806852424157e+01
-1.335883561441795209e-01,1.160600691241242544e+01
-1.332565402455939685e-01,8.719704659854166096e+01
-1.330987687932169150e-01,-9.846409220248818883e+01
-1.330250226550400150e-01,-8.907594651008653841e+01
-1.327318727286712630e-01,1.929919117626965885e+01
-1.323741784495422458e-01,2.984269462502631143e+01
-1.321215758728693235e-01,3.892965678597981594e+01
-1.318632210730289467e-01,4.000576119045362589e+00
-1.315122948661299196e-01,6.183747194299371586e+00
-1.311937374588936223e-01,3.969970898443087037e+01
-1.309675704288878473e-01,-2.212329620643327388e+01
-1.306567425140533478e-01,3.957685364142093931e+01
-1.303031256634081814e-01,3.071929632669778698e+00
-1.300747366592261978e-01,-4.695633090368023232e+01
-1.297931526597240204e-01,-2.831804034186813368e+01
-1.294367718649113153e-01,2.135202818198678187e+01
-1.291339862649836245e-01,-5.846406788201363725e+01
-1.289065594302628570e-01,4.336226654499952815e+01
-1.285808866993058963e-01,3.389636767714421239e+00
-1.282340667968142611e-01,4.957779764480640949e+01
-1.280321858904310828e-01,1.599938403074041560e+01
-1.277210707060590922e-01,1.749388049598898931e+01
